Date : 2023-08-20 21:15:41
Directory : /Users/bogz/Documents/sky-brigade
Total : 157 files,  7370 codes, 1298 comments, 1937 blanks, all 10605 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| SkyBrigade                                                                                          |          6 |        181 |         15 |         40 |        236 |
| SkyBrigade (Files)                                                                                  |          4 |        160 |         14 |         32 |        206 |
| SkyBrigade.MaterialEditor                                                                           |          4 |        177 |         12 |         42 |        231 |
| SkyBrigade/Assets                                                                                   |          2 |         21 |          1 |          8 |         30 |
| SkyBrigade/Assets/shaders                                                                           |          2 |         21 |          1 |          8 |         30 |
| SkyBrigade/Assets/shaders/basic                                                                     |          2 |         21 |          1 |          8 |         30 |
| VrekLang                                                                                            |          1 |        161 |          0 |         19 |        180 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                            | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/bogz/Documents/sky-brigade/.github/workflows/dotnet.yml                                      | YAML     |         58 |          0 |         16 |         74 |
| /Users/bogz/Documents/sky-brigade/Game2D/DirtTile.cs                                                | C#       |         18 |          0 |          6 |         24 |
| /Users/bogz/Documents/sky-brigade/Game2D/Game2D.csproj                                              | XML      |         60 |          0 |          3 |         63 |
| /Users/bogz/Documents/sky-brigade/Game2D/GameScene.cs                                               | C#       |         99 |          0 |         30 |        129 |
| /Users/bogz/Documents/sky-brigade/Game2D/NoiseGenerator.cs                                          | C#       |         53 |          0 |         18 |         71 |
| /Users/bogz/Documents/sky-brigade/Game2D/Program.cs                                                 | C#       |         13 |          0 |          2 |         15 |
| /Users/bogz/Documents/sky-brigade/Game2D/content/noise/noise.frag                                   | GLSL     |         26 |          8 |         12 |         46 |
| /Users/bogz/Documents/sky-brigade/Game2D/content/noise/noise.vert                                   | GLSL     |         10 |          1 |          5 |         16 |
| /Users/bogz/Documents/sky-brigade/Game2D/content/sprites.frag                                       | GLSL     |          8 |          0 |          5 |         13 |
| /Users/bogz/Documents/sky-brigade/Game2D/content/sprites.vert                                       | GLSL     |         25 |          2 |         10 |         37 |
| /Users/bogz/Documents/sky-brigade/Horizon.Prefabs/Character/CharacterController.cs                  | C#       |         23 |          1 |          5 |         29 |
| /Users/bogz/Documents/sky-brigade/Horizon.Prefabs/Character/CharacterMovementController.cs          | C#       |         49 |          2 |         15 |         66 |
| /Users/bogz/Documents/sky-brigade/Horizon.Prefabs/Character/CharacterMovementControllerConfig.cs    | C#       |         14 |          0 |          2 |         16 |
| /Users/bogz/Documents/sky-brigade/Horizon.Prefabs/Effects/VingetteEffect.cs                         | C#       |         40 |          3 |         11 |         54 |
| /Users/bogz/Documents/sky-brigade/Horizon.Prefabs/Horizon.Prefabs.csproj                            | XML      |         21 |          0 |          4 |         25 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Horizon.Tests.csproj                                | XML      |         70 |          0 |          4 |         74 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Program.cs                                          | C#       |         15 |          0 |          3 |         18 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/TestMenuGameScreen.cs                               | C#       |         96 |          4 |         29 |        129 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/IEngineTest.cs                                | C#       |         13 |          0 |          4 |         17 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/MeshLoadingEngineTest.cs                      | C#       |        108 |         10 |         23 |        141 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/PIDController.cs                              | C#       |         32 |          0 |          8 |         40 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/PIDTest.cs                                    | C#       |         79 |          0 |         16 |         95 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/PingPongGameTest.cs                           | C#       |        112 |          0 |         29 |        141 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/PlanetGraphicsTest.cs                         | C#       |         92 |          6 |         26 |        124 |
| /Users/bogz/Documents/sky-brigade/Horizon.Tests/Tests/RenderRectangleEngineTest.cs                  | C#       |         45 |          0 |         12 |         57 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/DemoEffectStack/basic.vert                         | GLSL     |         17 |          1 |          5 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/DemoEffectStack/stage0.frag                        | GLSL     |          8 |          0 |          1 |          9 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/DemoEffectStack/stage1.frag                        | GLSL     |          8 |          0 |          1 |          9 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/basic_shader/basic.frag                            | GLSL     |         13 |          0 |          5 |         18 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/basic_shader/basic.vert                            | GLSL     |         13 |          1 |          5 |         19 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/effects/basic.vert                                 | GLSL     |         17 |          1 |          5 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/effects/basicStage.frag                            | GLSL     |          8 |          0 |          1 |          9 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/fbo_shader/basic.frag                              | GLSL     |         13 |          0 |          5 |         18 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/fbo_shader/basic.vert                              | GLSL     |         17 |          1 |          5 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/material_shader/advanced.frag                      | GLSL     |        128 |         40 |         36 |        204 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/material_shader/advanced.vert                      | GLSL     |         17 |          1 |          5 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/material_shader/basic.frag                         | GLSL     |        102 |         36 |         29 |        167 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/material_shader/basic.vert                         | GLSL     |         17 |          1 |          5 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/sprite_shaders/sprites.frag                        | GLSL     |         10 |          0 |          5 |         15 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/sprite_shaders/sprites.vert                        | GLSL     |         27 |          5 |         12 |         44 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/tilemap_shaders/tiles.frag                         | GLSL     |         10 |          0 |          5 |         15 |
| /Users/bogz/Documents/sky-brigade/Horizon/Assets/tilemap_shaders/tiles.vert                         | GLSL     |         11 |          0 |          6 |         17 |
| /Users/bogz/Documents/sky-brigade/Horizon/Collections/CircularBuffer.cs                             | C#       |         46 |          3 |         12 |         61 |
| /Users/bogz/Documents/sky-brigade/Horizon/Collections/InstanceManager.cs                            | C#       |         36 |         29 |         10 |         75 |
| /Users/bogz/Documents/sky-brigade/Horizon/Collections/LinearBuffer.cs                               | C#       |         22 |          3 |          8 |         33 |
| /Users/bogz/Documents/sky-brigade/Horizon/Content/ContentManager.cs                                 | C#       |        202 |          2 |         54 |        258 |
| /Users/bogz/Documents/sky-brigade/Horizon/Data/DeltaTracker.cs                                      | C#       |         24 |          5 |          9 |         38 |
| /Users/bogz/Documents/sky-brigade/Horizon/Data/ISerializableGameObject.cs                           | C#       |          6 |          0 |          2 |          8 |
| /Users/bogz/Documents/sky-brigade/Horizon/Data/MaterialSerialiser/MaterialReader.cs                 | C#       |          8 |          0 |          2 |         10 |
| /Users/bogz/Documents/sky-brigade/Horizon/Data/PrimitiveGenerator.cs                                | C#       |          7 |          0 |          1 |          8 |
| /Users/bogz/Documents/sky-brigade/Horizon/Data/Vertex.cs                                            | C#       |         21 |         36 |          8 |         65 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/DebuggerComponent.cs                  | C#       |         19 |          0 |          5 |         24 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/DockedGameContainerDebugger.cs        | C#       |         31 |          0 |          9 |         40 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/GeneralDebugger.cs                    | C#       |        131 |          0 |         29 |        160 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/LoadedContentDebugger.cs              | C#       |         81 |          2 |         25 |        108 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/PerformanceProfilerDebugger.cs        | C#       |        141 |          5 |         45 |        191 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/RenderOptionsDebugger.cs              | C#       |         54 |          4 |         16 |         74 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/Debuggers/SceneEntityDebugger.cs                | C#       |        359 |          2 |         71 |        432 |
| /Users/bogz/Documents/sky-brigade/Horizon/Debugging/SkylineDebugger.cs                              | C#       |         75 |          0 |         12 |         87 |
| /Users/bogz/Documents/sky-brigade/Horizon/Dialogs/FileItem.cs                                       | C#       |          2 |          0 |          1 |          3 |
| /Users/bogz/Documents/sky-brigade/Horizon/Dialogs/FileItemType.cs                                   | C#       |          6 |          0 |          1 |          7 |
| /Users/bogz/Documents/sky-brigade/Horizon/Dialogs/OpenFileDialog.cs                                 | C#       |        135 |         55 |         31 |        221 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Components/CameraComponent.cs                  | C#       |         52 |         22 |         18 |         92 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Components/CustomBehaviourComponent.cs         | C#       |         24 |          0 |          9 |         33 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Components/IGameComponent.cs                   | C#       |         12 |         21 |          6 |         39 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Components/MeshRendererComponent.cs            | C#       |         25 |          0 |          5 |         30 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Components/TransformComponent.cs               | C#       |         53 |         51 |         20 |        124 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/Entity.cs                                      | C#       |         99 |         81 |         33 |        213 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/GameObject.cs                                  | C#       |         23 |         26 |         11 |         60 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/IEntity.cs                                     | C#       |         15 |          0 |          4 |         19 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameEntity/RequiresComponentAttribute.cs                  | C#       |         16 |         29 |          4 |         49 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameInstanceParameters.cs                                 | C#       |         15 |          0 |          2 |         17 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameManager.cs                                            | C#       |        233 |         75 |         68 |        376 |
| /Users/bogz/Documents/sky-brigade/Horizon/GameScreenManager.cs                                      | C#       |         38 |         19 |         11 |         68 |
| /Users/bogz/Documents/sky-brigade/Horizon/Horizon.csproj                                            | XML      |        179 |          0 |          4 |        183 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/Components/JoystickInputManager.cs                  | C#       |         56 |         32 |         14 |        102 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/Components/KeyboardInputManager.cs                  | C#       |         59 |         32 |         17 |        108 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/Components/MouseInputManager.cs                     | C#       |         53 |         29 |         15 |         97 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/InputManager.cs                                     | C#       |         43 |         35 |         19 |         97 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/JoystickBindings.cs                                 | C#       |         16 |          9 |          2 |         27 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/JoystickButton.cs                                   | C#       |         23 |          3 |          1 |         27 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/JoystickData.cs                                     | C#       |         17 |         18 |          6 |         41 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/KeyboardBindings.cs                                 | C#       |         17 |          9 |          3 |         29 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/KeyboardData.cs                                     | C#       |         10 |         12 |          4 |         26 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/MouseBindings.cs                                    | C#       |         17 |          9 |          3 |         29 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/MouseData.cs                                        | C#       |          9 |          9 |          3 |         21 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/VirtualAction.cs                                    | C#       |         17 |          3 |          4 |         24 |
| /Users/bogz/Documents/sky-brigade/Horizon/Input/VirtualController.cs                                | C#       |         11 |         12 |          5 |         28 |
| /Users/bogz/Documents/sky-brigade/Horizon/Logging/LogLevel.cs                                       | C#       |          9 |          1 |          1 |         11 |
| /Users/bogz/Documents/sky-brigade/Horizon/Logging/LogOutput.cs                                      | C#       |          7 |          0 |          1 |          8 |
| /Users/bogz/Documents/sky-brigade/Horizon/Logging/Logger.cs                                         | C#       |        117 |         19 |         20 |        156 |
| /Users/bogz/Documents/sky-brigade/Horizon/MathHelper.cs                                             | C#       |          9 |          0 |          1 |         10 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/BufferObject.cs                                    | C#       |         37 |          7 |          9 |         53 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/ComputeShader.cs                                   | C#       |         51 |          5 |         14 |         70 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/FrameBufferManager.cs                              | C#       |         18 |          0 |          4 |         22 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/FrameBufferObject.cs                               | C#       |        111 |         15 |         36 |        162 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/Shader.cs                                          | C#       |        133 |         16 |         36 |        185 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/Texture.cs                                         | C#       |         93 |         11 |         23 |        127 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/UniformBufferObject.cs                             | C#       |         63 |          1 |         12 |         76 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/VertexArrayObject.cs                               | C#       |         43 |         14 |         13 |         70 |
| /Users/bogz/Documents/sky-brigade/Horizon/OpenGL/VertexBufferObject.cs                              | C#       |         28 |         20 |         13 |         61 |
| /Users/bogz/Documents/sky-brigade/Horizon/Primitives/IDrawable.cs                                   | C#       |          6 |          5 |          2 |         13 |
| /Users/bogz/Documents/sky-brigade/Horizon/Primitives/IUpdateable.cs                                 | C#       |          5 |          5 |          1 |         11 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/AdvancedMaterial.cs                             | C#       |         89 |         41 |         27 |        157 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/AdvancedMaterialDescription.cs                  | C#       |         20 |          0 |          2 |         22 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/BasicMaterial.cs                                | C#       |         39 |         19 |         14 |         72 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/BasicMaterialDescription.cs                     | C#       |         21 |          0 |          2 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Camera.cs                                       | C#       |         40 |          3 |         13 |         56 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/CubeMap.cs                                      | C#       |          1 |          0 |          0 |          1 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/CustomMaterial.cs                               | C#       |         19 |          0 |          4 |         23 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/DebugRenderOptions.cs                           | C#       |          9 |          0 |          2 |         11 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/DefferedRenderLayer.cs                          | C#       |         10 |          0 |          2 |         12 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Effects/BasicEffect.cs                          | C#       |         18 |          0 |          8 |         26 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Effects/Components/ShaderComponent.cs           | C#       |         37 |          0 |         15 |         52 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Effects/Effect.cs                               | C#       |         25 |         18 |          6 |         49 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Effects/EffectStack.cs                          | C#       |        126 |          8 |         32 |        166 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/EmptyMaterial.cs                                | C#       |         31 |          1 |          7 |         39 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Material.cs                                     | C#       |         15 |          0 |          3 |         18 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/MaterialRenderOptions.cs                        | C#       |         13 |          0 |          1 |         14 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Mesh.cs                                         | C#       |         56 |         49 |         26 |        131 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/MeshData.cs                                     | C#       |          7 |          0 |          3 |         10 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/MeshGenerators.cs                               | C#       |        102 |         88 |         38 |        228 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/RenderOptions.cs                                | C#       |         25 |          4 |          7 |         36 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/RenderRectangle.cs                              | C#       |        120 |          0 |         42 |        162 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Shapes/Plane.cs                                 | C#       |         42 |         22 |         10 |         74 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Shapes/Terrain.cs                               | C#       |         20 |          0 |          7 |         27 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/Components/SpriteBatchMeshComponent.cs | C#       |         97 |          7 |         32 |        136 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/Data/Vertex2D.cs                       | C#       |         23 |         22 |          6 |         51 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/Sprite.cs                              | C#       |         46 |          0 |         14 |         60 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/SpriteAnimationDefinition.cs           | C#       |         11 |          0 |          3 |         14 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/SpriteBatch.cs                         | C#       |         85 |          0 |         21 |        106 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/SpriteDefinition.cs                    | C#       |          9 |          0 |          3 |         12 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/Spritesheet.cs                         | C#       |         77 |          2 |         20 |         99 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Spriting/SpritesheetAnimationManager.cs         | C#       |         71 |          0 |         16 |         87 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Technique.cs                                    | C#       |         46 |          1 |         13 |         60 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/Tile.cs                                   | C#       |         38 |          0 |         13 |         51 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TileMap.cs                                | C#       |         61 |          8 |         14 |         83 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TileMapChunk.cs                           | C#       |         89 |          8 |         22 |        119 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TileMesh.cs                               | C#       |        120 |          4 |         38 |        162 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TileRenderingData.cs                      | C#       |          9 |          0 |          3 |         12 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TileSet.cs                                | C#       |         50 |          1 |         10 |         61 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TilemapChunkManager.cs                    | C#       |         54 |          8 |         15 |         77 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/Tiles/TilemapRenderer.cs                        | C#       |         47 |          0 |         11 |         58 |
| /Users/bogz/Documents/sky-brigade/Horizon/Rendering/UniformBufferManager.cs                         | C#       |         53 |          9 |         13 |         75 |
| /Users/bogz/Documents/sky-brigade/Horizon/Scene.cs                                                  | C#       |         89 |         23 |         32 |        144 |
| /Users/bogz/Documents/sky-brigade/README.md                                                         | Markdown |          8 |          0 |          4 |         12 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade.MaterialEditor/EditorMenuBar.cs                        | C#       |         28 |          6 |          8 |         42 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade.MaterialEditor/EditorMenuBarItem.cs                    | C#       |          7 |          0 |          1 |          8 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade.MaterialEditor/Program.cs                              | C#       |        122 |          6 |         31 |        159 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade.MaterialEditor/SkyBrigade.MaterialEditor.csproj        | XML      |         20 |          0 |          2 |         22 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/Assets/shaders/basic/basic.frag                        | GLSL     |          8 |          0 |          3 |         11 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/Assets/shaders/basic/basic.vert                        | GLSL     |         13 |          1 |          5 |         19 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/DemoGameScreen.cs                                      | C#       |         75 |         10 |         22 |        107 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/FlashingEffect.cs                                      | C#       |         23 |          4 |          6 |         33 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/Program.cs                                             | C#       |         15 |          0 |          2 |         17 |
| /Users/bogz/Documents/sky-brigade/SkyBrigade/SkyBrigade.csproj                                      | XML      |         47 |          0 |          2 |         49 |
| /Users/bogz/Documents/sky-brigade/VrekLang/Class1.cs                                                | C#       |        161 |          0 |         19 |        180 |
| Total                                                                                               |          |      7,370 |      1,298 |      1,937 |     10,605 |
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
